player,Goals,Total_xG,Avg_xG_per_Shot,Shot_Count,G_minus_xG,Aerial_Duels_Won,Aerial_Duels_Total,Aerial_Pass_Wins,Total_Aerial_Wins,Finishing_Percentile,Aerial_Percentile,Smart_Scout_Score,Total_Minutes,Goals_p90,Total_xG_p90,Total_Aerial_Wins_p90,scaled_Goals_p90,scaled_Total_xG_p90,scaled_Total_Aerial_Wins_p90,scaled_G_minus_xG,is_aerial_specialist,is_clinical_finisher,is_high_volume_threat
Marcus Thuram,0,0.115658596,0.115658596,1,-0.115658596,0,0,9,9,0.4133333333333333,0.8533333333333334,0.6333333333333333,497,0.0,0.020944212555331992,1.6297786720321932,0.0,0.01573238458048464,0.3492382868640414,0.3038890196028287,0,0,0
Kylian Mbappé Lottin,9,5.016751877,0.15677349615625,32,3.983248123,0,0,1,1,1.0,0.24,0.62,693,1.168831168831169,0.6515262177922078,0.12987012987012986,1.0,0.6848589635083715,0.027829313543599254,1.0,0,1,0
Boulaye Dia,1,0.662240351,0.082780043875,8,0.337759649,0,0,3,3,0.6,0.6,0.6,326,0.27607361963190186,0.18282709076687118,0.8282208588957056,0.23619631901840488,0.18751041754861053,0.17747589833479405,0.380892337974006,0,0,0
Joel Nathaniel Campbell Samuels,0,0.051288527,0.051288527,1,-0.051288527,1,0,4,5,0.4666666666666667,0.7266666666666667,0.5966666666666667,289,0.0,0.015972205640138407,1.5570934256055364,0.0,0.010456461782276116,0.3336628769154721,0.31482088873566794,0,0,0
Richarlison de Andrade,3,1.617659122,0.20220739025,8,1.382340878,0,0,1,1,0.9333333333333332,0.24,0.5866666666666667,326,0.8282208588957056,0.4465930091411043,0.27607361963190186,0.7085889570552147,0.4673991316790177,0.05915863277826468,0.5582919504250724,0,0,0
Firas Tariq Nasser Al Albirakan,0,0.124001969,0.0620009845,2,-0.124001969,0,0,6,6,0.3866666666666666,0.7866666666666666,0.5866666666666667,279,0.0,0.04000063516129032,1.935483870967742,0.0,0.0359536385316484,0.4147465437788018,0.3024720774870378,0,0,0
Michael Steveen Estrada Martínez,0,0.246376532,0.0821255106666666,3,-0.246376532,1,0,8,9,0.3066666666666666,0.8533333333333334,0.5800000000000001,225,0.0,0.0985506128,3.6,0.0,0.09808250663814831,0.7714285714285714,0.2816893949656878,0,0,0
Harry Kane,2,2.330979943,0.1942483285833333,12,-0.330979943,2,0,12,14,0.2133333333333333,0.9333333333333332,0.5733333333333334,408,0.4411764705882353,0.514186752132353,3.088235294117647,0.3774509803921568,0.5391245688609352,0.6617647058823529,0.26732132869495234,0,0,0
Daizen Maeda,1,0.53585137,0.267925685,2,0.4641486299999999,0,0,2,2,0.6666666666666666,0.4466666666666666,0.5566666666666666,180,0.5,0.267925685,1.0,0.4277777777777777,0.27781069690624294,0.21428571428571427,0.40235678288744714,0,0,0
Andrej Kramarić,2,1.087257213,0.1087257213,10,0.912742787,0,0,1,1,0.8266666666666667,0.24,0.5333333333333333,474,0.37974683544303794,0.20644124297468353,0.18987341772151897,0.3248945147679324,0.21256799412052738,0.04068716094032549,0.4785408338643127,0,0,0
Ante Budimir,0,0.10111922,0.10111922,1,-0.10111922,0,0,3,3,0.4266666666666667,0.6,0.5133333333333333,224,0.0,0.040628258035714286,1.2053571428571428,0.0,0.03661962510172574,0.25829081632653056,0.3063582193127924,0,0,0
Kieffer Roberto Francisco Moore,0,0.6403291090000001,0.1067215181666666,6,-0.6403291090000001,0,0,12,12,0.12,0.8933333333333333,0.5066666666666666,290,0.0,0.1987228269310345,3.7241379310344827,0.0,0.204377786853054,0.7980295566502462,0.21478503890062312,0,0,0
