player,Goals,Total_xG,Avg_xG_per_Shot,Shot_Count,G_minus_xG,Aerial_Duels_Won,Aerial_Duels_Total,Aerial_Pass_Wins,Total_Aerial_Wins,Finishing_Percentile,Aerial_Percentile,Smart_Scout_Score
Issam Jebali,0,0.5930872340000001,0.1976957446666667,3,-0.5930872340000001,1,0,1,2,0.13333333333333333,0.44666666666666666,0.29
Jewison Bennette,0,0.037811525,0.037811525,1,-0.037811525,0,0,0,0,0.5066666666666667,0.06666666666666667,0.2866666666666667
Martin Braithwaite Christensen,0,0.23786028,0.23786028,1,-0.23786028,0,0,1,1,0.32,0.24,0.28
Abdulrahman Al-Obood,0,0.041744728,0.041744728,1,-0.041744728,0,0,0,0,0.49333333333333335,0.06666666666666667,0.28
Jonathan David,0,0.8128135049999999,0.10160168812499999,8,-0.8128135049999999,0,0,2,2,0.08,0.44666666666666666,0.2633333333333333
Gabriel Fernando de Jesus,0,0.323986363,0.1619931815,2,-0.323986363,1,0,0,1,0.22666666666666666,0.24,0.23333333333333334
Joshua Sargent,0,0.362028482,0.0905071205,4,-0.362028482,0,0,1,1,0.18666666666666668,0.24,0.21333333333333332
Kasper Dolberg,0,0.511986249,0.12799656225,4,-0.511986249,0,0,1,1,0.16,0.24,0.2
Pedro Guilherme Abreu dos Santos,1,1.215663274,0.2431326548,5,-0.21566327399999996,0,0,0,0,0.3333333333333333,0.06666666666666667,0.19999999999999998
Cyle Larin,0,0.249796684,0.08326556133333333,3,-0.249796684,0,0,0,0,0.28,0.06666666666666667,0.17333333333333334
Thomas Müller,0,0.270048914,0.09001630466666666,3,-0.270048914,0,0,0,0,0.26666666666666666,0.06666666666666667,0.16666666666666666
Haris Seferović,0,0.27028984,0.27028984,1,-0.27028984,0,0,0,0,0.25333333333333335,0.06666666666666667,0.16
Romelu Lukaku Menama,0,1.68415473,0.33683094599999996,5,-1.68415473,0,0,1,1,0.02666666666666667,0.24,0.13333333333333333
